"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Moviment","Nacionalitat","Nombre"
2018,10,"Sant Martí",68,"el Poblenou","Baixa","Espanyols",998
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Baixa","Espanyols",383
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Baixa","Espanyols",624
2018,10,"Sant Martí",71,"Provençals del Poblenou","Baixa","Espanyols",511
2018,10,"Sant Martí",72,"Sant Martí de Provençals","Baixa","Espanyols",713
2018,10,"Sant Martí",73,"la Verneda i la Pau","Baixa","Espanyols",731
2018,1,"Ciutat Vella",1,"el Raval","Baixa","Estrangers",4378
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Baixa","Estrangers",1217
2018,1,"Ciutat Vella",3,"la Barceloneta","Baixa","Estrangers",854
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Baixa","Estrangers",1304
2018,2,"Eixample",5,"el Fort Pienc","Baixa","Estrangers",939
2018,2,"Eixample",6,"la Sagrada Família","Baixa","Estrangers",1460
2018,2,"Eixample",7,"la Dreta de l'Eixample","Baixa","Estrangers",1223
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Baixa","Estrangers",1204
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Baixa","Estrangers",1442
2018,2,"Eixample",10,"Sant Antoni","Baixa","Estrangers",1186
2018,3,"Sants-Montjuïc",11,"el Poble Sec","Baixa","Estrangers",1843
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Baixa","Estrangers",12
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Baixa","Estrangers",513
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Baixa","Estrangers",245
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Baixa","Estrangers",526
2018,3,"Sants-Montjuïc",16,"la Bordeta","Baixa","Estrangers",252
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Baixa","Estrangers",461
2018,3,"Sants-Montjuïc",18,"Sants","Baixa","Estrangers",906
2018,4,"Les Corts",19,"les Corts","Baixa","Estrangers",589
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Baixa","Estrangers",354
2018,4,"Les Corts",21,"Pedralbes","Baixa","Estrangers",197
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Baixa","Estrangers",35
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Baixa","Estrangers",302
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Baixa","Estrangers",153
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Baixa","Estrangers",347
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Baixa","Estrangers",622
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Baixa","Estrangers",462
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Baixa","Estrangers",230
2018,6,"Gràcia",29,"el Coll","Baixa","Estrangers",144
2018,6,"Gràcia",30,"la Salut","Baixa","Estrangers",266
2018,6,"Gràcia",31,"la Vila de Gràcia","Baixa","Estrangers",1302
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Baixa","Estrangers",748
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Baixa","Estrangers",511
2018,7,"Horta-Guinardó",34,"Can Baró","Baixa","Estrangers",166
2018,7,"Horta-Guinardó",35,"el Guinardó","Baixa","Estrangers",667
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Baixa","Estrangers",85
2018,7,"Horta-Guinardó",37,"el Carmel","Baixa","Estrangers",656
2018,7,"Horta-Guinardó",38,"la Teixonera","Baixa","Estrangers",202
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Baixa","Estrangers",114
2018,7,"Horta-Guinardó",40,"Montbau","Baixa","Estrangers",75
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Baixa","Estrangers",64
2018,7,"Horta-Guinardó",42,"la Clota","Baixa","Estrangers",13
2018,7,"Horta-Guinardó",43,"Horta","Baixa","Estrangers",449
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Baixa","Estrangers",555
2018,8,"Nou Barris",45,"Porta","Baixa","Estrangers",627
2018,8,"Nou Barris",46,"el Turó de la Peira","Baixa","Estrangers",480
2018,8,"Nou Barris",47,"Can Peguera","Baixa","Estrangers",10
2018,8,"Nou Barris",48,"la Guineueta","Baixa","Estrangers",200
2018,8,"Nou Barris",49,"Canyelles","Baixa","Estrangers",26
2018,8,"Nou Barris",50,"les Roquetes","Baixa","Estrangers",488
2018,8,"Nou Barris",51,"Verdun","Baixa","Estrangers",381
2018,8,"Nou Barris",52,"la Prosperitat","Baixa","Estrangers",627
2018,8,"Nou Barris",53,"la Trinitat Nova","Baixa","Estrangers",195
2018,8,"Nou Barris",54,"Torre Baró","Baixa","Estrangers",44
2018,8,"Nou Barris",55,"Ciutat Meridiana","Baixa","Estrangers",472
2018,8,"Nou Barris",56,"Vallbona","Baixa","Estrangers",18
2018,9,"Sant Andreu",57,"la Trinitat Vella","Baixa","Estrangers",379
2018,9,"Sant Andreu",58,"Baró de Viver","Baixa","Estrangers",21
2018,9,"Sant Andreu",59,"el Bon Pastor","Baixa","Estrangers",188
2018,9,"Sant Andreu",60,"Sant Andreu","Baixa","Estrangers",573
2018,9,"Sant Andreu",61,"la Sagrera","Baixa","Estrangers",449
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Baixa","Estrangers",250
2018,9,"Sant Andreu",63,"Navas","Baixa","Estrangers",419
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Baixa","Estrangers",984
2018,10,"Sant Martí",65,"el Clot","Baixa","Estrangers",545
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Baixa","Estrangers",362
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Baixa","Estrangers",151
2018,10,"Sant Martí",68,"el Poblenou","Baixa","Estrangers",689
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Baixa","Estrangers",230
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Baixa","Estrangers",887
2018,10,"Sant Martí",71,"Provençals del Poblenou","Baixa","Estrangers",298
2018,10,"Sant Martí",72,"Sant Martí de Provençals","Baixa","Estrangers",364
2018,10,"Sant Martí",73,"la Verneda i la Pau","Baixa","Estrangers",445
