Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Renda
2013,3,Sants-Montjuïc,15,Hostafrancs,14899.6
2013,1,Ciutat Vella,1,el Raval,11637.9
2013,1,Ciutat Vella,2,el Barri Gòtic,19994.8
2013,1,Ciutat Vella,3,la Barceloneta,15845.3
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17601.600000000002
2013,2,Eixample,5,el Fort Pienc,19107.0
2013,2,Eixample,6,la Sagrada Família,18817.5
2013,2,Eixample,7,la Dreta de l'Eixample,31980.099999999995
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,24144.3
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,20959.799999999996
2013,2,Eixample,10,Sant Antoni,19782.5
2013,3,Sants-Montjuïc,11,el Poble Sec,13703.0
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,11406.3
2013,3,Sants-Montjuïc,13,la Marina de Port,13683.7
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,15015.4
2013,3,Sants-Montjuïc,16,la Bordeta,13780.2
2013,7,Horta-Guinardó,36,la Font d'en Fargues,20959.799999999996
2013,3,Sants-Montjuïc,18,Sants,15941.8
2013,7,Horta-Guinardó,38,la Teixonera,13316.999999999998
2013,9,Sant Andreu,58,Baró de Viver,11946.7
2013,9,Sant Andreu,59,el Bon Pastor,13857.4
2013,9,Sant Andreu,60,Sant Andreu,15304.899999999998
2013,9,Sant Andreu,61,la Sagrera,14339.9
2013,9,Sant Andreu,62,el Congrés i els Indians,14224.1
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,14764.5
2013,10,Sant Martí,65,el Clot,14841.7
2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,18084.100000000002
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,29258.8
2013,10,Sant Martí,68,el Poblenou,17292.8
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,28969.3
2013,10,Sant Martí,70,el Besòs i el Maresme,10229.0
2013,10,Sant Martí,71,Provençals del Poblenou,14687.299999999997
2013,10,Sant Martí,72,Sant Martí de Provençals,12776.6
2013,7,Horta-Guinardó,37,el Carmel,10499.2
2013,9,Sant Andreu,57,la Trinitat Vella,10325.5
2013,8,Nou Barris,56,Vallbona,8048.1
2013,9,Sant Andreu,63,Navas,14552.2
2013,7,Horta-Guinardó,40,Montbau,13799.5
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,14436.4
2013,8,Nou Barris,55,Ciutat Meridiana,8337.6
2013,7,Horta-Guinardó,41,la Vall d'Hebron,16926.1
2013,7,Horta-Guinardó,42,la Clota,16424.3
2013,7,Horta-Guinardó,43,Horta,16038.3
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,13722.3
2013,8,Nou Barris,46,el Turó de la Peira,9958.800000000001
2013,8,Nou Barris,47,Can Peguera,10248.300000000001
2013,8,Nou Barris,45,Porta,11830.9
2013,8,Nou Barris,49,Canyelles,11000.999999999998
2013,8,Nou Barris,50,les Roquetes,9727.2
2013,8,Nou Barris,51,Verdun,10730.800000000001
2013,8,Nou Barris,52,la Prosperitat,10865.9
2013,8,Nou Barris,53,la Trinitat Nova,7430.5
2013,8,Nou Barris,54,Torre Baró,8627.1
2013,8,Nou Barris,48,la Guineueta,10518.5
2014,8,Nou Barris,54,Torre Baró,8892.0
2014,8,Nou Barris,49,Canyelles,11895.0
2014,8,Nou Barris,53,la Trinitat Nova,6766.500000000001
2014,8,Nou Barris,52,la Prosperitat,10471.5
2014,8,Nou Barris,51,Verdun,9906.0
2014,8,Nou Barris,50,les Roquetes,9906.0
2014,8,Nou Barris,48,la Guineueta,10920.000000000002
2014,7,Horta-Guinardó,40,Montbau,13650.0
2014,8,Nou Barris,46,el Turó de la Peira,9867.0
2014,8,Nou Barris,45,Porta,11368.5
